100       0.000000 0.010000 0.000000
200       0.000000 0.010000 0.010000
300       0.000000 0.020000 0.010000
400       0.000000 0.020000 0.030000
500       0.000000 0.020000 0.040000
600       0.000000 0.030000 0.060000
700       0.000000 0.060000 0.070000
800       0.000000 0.080000 0.100000
900       0.000000 0.080000 0.130000
1000      0.000000 0.110000 0.140000
1100      0.010000 0.120000 0.180000
1200      0.000000 0.160000 0.210000
1300      0.000000 0.190000 0.260000
1400      0.000000 0.220000 0.280000
1500      0.000000 0.240000 0.350000
